Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Mainland China ,"7,359,846","7,642,587","8,285,837","7,377,473","7,390,866","8,196,629","8,510,236","7,976,196","7,478,079","6,153,885","6,635,528","4,799,291","6,387,242","7,876,015","6,670,871","6,026,092","6,016,585","5,467,821","5,526,552","6,198,485","5,799,262","6,329,544","6,291,717","4,989,727","6,121,009","6,202,327","6,280,686","5,142,563","5,479,579","5,574,117","5,539,168","5,288,235","4,843,684","5,583,246","5,979,894","3,978,903","5,469,816"
  Afghanistan ,30,61,26,9,19,107,82,8,85,20,10,99,20,63,18,32,28,47,"2,538",51,133,32,133,18,139,45,18,19,13,38,11,72,15,16,6,66,7
  Bangladesh ,"16,643","27,270","25,709","18,536","18,308","36,996","18,815","20,745","23,744","18,850","19,840","16,678","21,085","22,103","19,117","23,805","20,565","16,958","12,067","12,640","17,516","19,130","20,374","15,507","34,207","25,556","14,127","10,000","19,293","15,842","23,266","12,128","3,725","3,979","27,294","19,551","51,163"
  India ,"826,219","834,657","837,673","826,855","1,023,746","908,131","1,022,364","1,251,445","885,584","1,159,602","1,023,825","1,038,814","851,347","1,065,580","981,053","830,719","598,029","825,451","900,935","945,470","716,823","880,794","859,448","786,256","493,874","636,451","589,695","603,036","521,757","524,324","737,581","695,070","436,296","276,158","703,494","601,098","818,894"
"  Maldives, Republic Of ",98,103,145,14,43,37,21,4,134,41,9,96,145,113,121,35,32,72,11,26,108,193,193,69,57,227,24,32,170,20,5,1,0,0,28,109,89
  Nepal ,517,221,612,688,602,559,632,385,279,"1,026",150,"28,582",868,177,158,117,179,256,131,55,72,108,249,76,75,"1,298",106,113,993,916,"1,245",39,5,70,347,271,"1,957"
  Pakistan ,"34,810","7,334","10,169","6,327","5,272","9,692","4,988","6,725","6,176","9,552","8,074","16,731","6,204","8,281","11,999","6,406","10,234","6,735","8,455","7,214","6,279","5,213","8,097","10,003","6,549","8,647","4,441","30,589","5,323","15,132","5,407","3,077","3,489","4,851","7,095","7,837","7,491"
  Sri Lanka ,"10,989","10,737","12,169","14,721","13,436","12,789","13,242","13,958","10,004","11,842","10,342","10,057","10,925","11,878","11,604","10,088","9,654","9,726","8,714","9,428","5,896","7,863","32,912","14,725","15,355","23,637","6,557","8,767","12,610","8,154","16,097","5,687","9,588","8,402","6,493","9,415","8,913"
  Bahrain ,"39,592","44,949","11,520","66,675","2,744","7,085","165,713","197,690","293,928","76,907","4,672","1,358","4,480",467,"106,807","7,539","6,177","1,997","1,358","2,994","1,288","48,667","44,708","1,495","98,458","1,371","13,810",702,"28,445","51,275","71,381","41,364","12,630","26,190","2,924","1,087",654
  Cyprus ,"6,792","21,698","2,385","2,034","1,662","2,499","1,199","1,848","2,307","1,889","1,189","28,179","3,387","1,807","3,001","4,095","1,474","2,602","1,800","1,872","1,546","1,559","1,273","1,414","1,342","1,143","1,292","1,757","1,611","1,140","1,225","2,825","3,772","1,092",766,"1,217","1,040"
  Iran (Islamic Republic Of) ,289,317,267,692,258,255,44,258,328,191,790,316,754,"1,454","1,131",320,886,297,575,863,389,345,426,533,727,960,238,473,225,276,513,655,293,"1,324",832,714,335
  Israel ,"105,903","98,717","85,965","93,452","143,055","126,174","99,014","106,901","94,229","101,182","147,553","151,344","99,841","78,553","133,323","78,247","61,451","118,969","91,964","114,138","66,475","100,274","65,341","50,469","57,611","57,097","66,810","55,783","78,726","62,961","67,784","70,446","60,180","48,218","79,818","100,408","63,270"
