Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Hungary ,"43,296","47,775","63,588","39,889","60,851","80,433","58,378","74,596","56,842","98,504","65,669","70,320","54,758","67,045","81,237","65,987","62,829","62,454","45,653","55,914","46,243","75,450","51,260","35,339","50,085","32,130","42,384","42,263","54,904","46,879","26,706","39,403","44,859","42,366","35,870","43,449","48,888"
  Poland ,"64,162","53,076","63,246","47,942","53,511","48,436","57,658","57,747","51,670","65,823","50,459","39,804","60,979","59,941","56,197","50,546","51,404","49,199","45,140","43,915","49,028","46,944","54,932","37,660","46,014","53,566","54,076","48,649","41,626","40,421","36,221","27,678","28,652","26,595","37,580","41,220","50,945"
  Estonia ,"1,908",683,"1,005","1,321","2,292","2,590","1,676","3,963","7,103","7,380","1,681","1,572","5,099","2,105","3,129","2,187","2,398","4,837","1,192","1,623","3,077","2,966",677,947,459,"3,668","2,774","3,532","2,701","2,568",429,415,"1,412",391,"1,977",824,586
  Latvia ,"16,112","7,434","2,792","7,758","9,914","4,005","9,284","18,929","5,070","8,474","6,756","2,661","7,263","6,794","4,537","2,467","1,702","3,782","5,303","7,128","4,900","4,245","6,313","5,383","4,551","9,177","6,165","5,646","2,878","5,597","3,424","5,572","4,028","2,264","3,007","4,117","3,976"
  Lithuania ,"43,869","1,248","3,033","4,156","2,474","3,363","2,261","1,482","3,397","2,665","2,763","3,576","1,415","1,308","2,107","1,266","1,753","74,911","2,391","1,647","1,440","2,800","2,397","1,919","147,603","75,397","2,198","1,326","75,320","2,420",901,"1,552","1,764","1,142",875,"1,383","1,934"
  Slovenia ,"9,589","4,546","6,222","5,236","2,679","2,361","6,190","5,771","1,988","4,834","3,457","3,112","36,764","3,612","37,348","2,085","3,760","1,758","3,405","1,720","4,669","8,742","5,032","2,064","3,255","5,651","2,954","5,755","6,963","2,511","2,627","3,321","2,033","4,166","4,278","4,599","3,703"
  Czech Republic ,"40,029","23,443","25,261","43,738","40,588","53,328","36,867","39,967","56,782","77,050","64,250","55,495","50,034","63,831","99,722","50,109","61,700","54,760","80,083","54,494","57,543","63,477","82,851","46,052","63,625","50,889","37,847","49,558","39,217","65,237","77,157","51,982","72,190","50,587","33,432","38,779","54,274"
  Slovak Republic (Slovakia) ,"2,240","1,217","2,481","11,506","11,752","8,491","7,196","4,725","4,547","5,283","3,207","3,637","7,025","7,541","17,793","25,664","22,473","16,048","8,584","23,025","7,668","17,124","7,573","23,128","17,610","13,013","2,612","2,018","1,908","2,655","1,910","1,659","1,933","2,413","2,584","3,068","2,113"
  Brunei Darussalam ,"61,231","75,900","65,457","67,063","81,269","101,311","107,918","142,268","75,842","140,971","91,187","95,335","77,716","86,822","68,707","69,829","99,576","74,375","68,665","100,088","80,670","118,678","89,926","69,131","75,420","83,374","94,592","81,584","78,402","93,730","87,799","114,980","64,689","105,793","92,062","98,823","92,138"
  Indonesia ,"3,881,735","3,740,306","4,082,822","4,075,989","4,373,980","4,684,693","5,333,607","4,555,767","4,809,421","4,344,070","4,196,284","3,439,005","3,691,849","3,979,774","3,928,370","3,160,397","2,962,949","3,084,471","2,919,438","3,581,383","2,808,492","3,191,052","3,542,640","2,977,358","2,524,216","2,756,166","2,405,160","2,264,388","2,471,805","2,320,501","2,438,838","2,196,981","1,703,250","2,192,562","3,014,122","2,707,467","3,097,834"
  Malaysia ,"4,987,116","5,154,779","5,557,119","6,233,818","5,884,698","6,150,507","6,672,175","7,049,568","6,755,655","5,784,848","6,247,336","4,802,094","4,826,818","5,235,038","5,553,622","5,198,396","4,852,096","4,623,527","4,044,927","3,811,035","4,271,295","4,941,837","5,549,343","3,904,908","4,566,888","4,098,730","3,920,478","3,810,320","4,057,093","3,782,960","4,080,198","3,672,727","2,929,890","2,898,079","3,683,598","4,084,098","4,882,427"
  Philippines ,"1,200,527","1,116,549","1,118,234","1,229,078","1,367,212","1,654,932","1,430,283","1,455,141","1,194,254","1,225,542","1,206,732","898,526","1,082,779","1,170,890","1,329,198","980,583","903,601","1,005,828","965,175","981,095","908,860","1,009,146","1,066,012","1,001,918","982,646","888,000","814,908","916,638","877,251","849,391","1,014,441","896,456","692,502","567,314","821,266","868,932","1,048,522"
  Thailand ,"2,311,320","1,790,423","1,762,557","1,965,567","2,241,114","2,254,888","2,197,398","1,931,552","2,033,102","2,071,321","1,997,489","1,645,446","2,225,138","1,988,820","1,714,880","1,629,858","1,727,737","1,907,122","1,710,339","1,782,396","1,660,820","1,691,105","1,840,984","1,410,067","1,906,010","1,582,628","1,708,670","1,722,178","1,592,499","1,573,936","1,452,448","1,309,206","1,215,694","1,408,737","2,504,510","1,703,571","1,689,722"
  Myanmar ,"506,858","449,544","392,738","461,908","509,268","455,447","737,588","472,359","493,861","276,456","670,528","519,274","325,864","452,365","304,342","257,507","218,120","188,701","346,813","363,217","241,352","264,431","312,926","219,550","343,638","327,498","246,851","224,144","268,968","273,130","283,466","356,460","278,782","247,214","449,515","331,483","430,961"
  Cambodia ,"164,827","195,030","280,992","594,395","1,504,662","1,087,906","1,698,433","1,042,776","1,485,468","629,986","339,098","630,559","1,295,867","1,260,386","732,835","721,899","363,127","238,718","422,961","619,307","337,789","625,369","1,555,131","1,134,340","872,487","538,116","336,505","86,356","70,633","77,148","86,990","92,601","80,030","76,917","240,034","173,729","217,874"
  Laos People's Democratic Republic ,"6,314","4,643","2,950","7,222","27,116","3,719","6,565","2,897","3,820","47,951","10,026","2,489","12,861","36,482","8,414","4,406","3,217","3,716","3,072","8,148","2,739","2,824","5,464","3,497","2,815","2,842","3,357","2,423","2,401","2,322","3,055","1,511","2,353","1,738","3,702","4,108","7,018"
"  Vietnam, Socialist Republic Of ","1,940,416","1,958,783","1,568,729","1,730,554","2,375,792","2,259,090","2,086,867","2,151,719","1,872,698","1,922,464","2,236,449","1,770,380","1,798,392","2,274,199","1,928,255","1,704,354","1,715,696","1,742,412","1,648,685","1,741,781","1,581,962","1,770,996","1,758,115","1,402,805","1,766,128","1,636,831","1,517,606","1,433,309","1,499,010","1,463,700","1,533,658","1,563,752","1,221,984","1,013,515","1,378,299","1,528,014","1,361,099"
  Japan ,"2,126,140","2,271,626","2,504,491","2,406,706","2,481,370","2,311,824","2,327,064","2,472,924","2,329,546","2,464,468","2,673,309","2,195,357","2,225,689","2,461,955","2,207,061","2,144,334","2,144,273","2,156,629","2,207,935","1,919,748","1,855,420","1,965,326","2,045,433","1,752,673","1,777,803","1,974,988","1,968,606","2,045,891","1,946,583","1,744,085","2,098,399","2,220,049","1,949,916","2,314,386","2,246,814","1,980,315","2,155,267"
  Hong Kong ,"3,884,246","7,403,998","5,302,426","5,137,172","7,405,741","6,466,344","6,138,562","7,717,915","7,486,002","6,769,192","6,807,217","6,514,766","6,509,744","7,653,966","7,276,474","6,395,502","7,014,963","7,169,776","6,494,656","6,598,202","7,161,940","6,289,297","7,470,910","5,518,278","5,693,673","5,941,191","5,671,808","5,784,153","5,594,771","5,104,848","5,031,862","4,886,363","4,674,102","5,387,093","5,823,657","5,116,584","4,726,790"
