Consumer Items,Date,Values
White Pomfret (Per Kilogram) (Dollar),2019 Jul,29.7
White Sugar (Per 2 Kilogram) (Dollar),2019 Jul,3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2019 Jul,6.3
Wholemeal Bread (Per 400 Gram) (Dollar),2019 Jul,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2019 Jun,2.7
Apple (Each) (Dollar),2019 Jun,0.4
Bananas (Per Kilogram) (Dollar),2019 Jun,2.4
"Beef, Chilled (Per Kilogram) (Dollar)",2019 Jun,24.7
Beer (Per 6 Cans) (Dollar),2019 Jun,16.1
Broccoli (Per Kilogram) (Dollar),2019 Jun,5.3
Cabbage (Per Kilogram) (Dollar),2019 Jun,2.4
Carrots (Per Kilogram) (Dollar),2019 Jun,2.1
Cheese (Per 12 Slices) (Dollar),2019 Jun,6
Chicken Nasi Briyani (Per Plate) (Dollar),2019 Jun,5.6
Chicken Rice (Per Plate) (Dollar),2019 Jun,3.4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2019 Jun,8.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2019 Jun,5.1
Cigarettes (Per Pack) (Dollar),2019 Jun,13.1
Cod Fish (Per Kilogram) (Dollar),2019 Jun,66.4
Coffee/Tea With Milk (Per Cup) (Dollar),2019 Jun,1.2
Coffee/Tea Without Milk (Per Cup) (Dollar),2019 Jun,1.1
Cooking Oil (Per 2 Kilogram) (Dollar),2019 Jun,5.8
Diesel (Per Litre) (Dollar),2019 Jun,1.7
"Duck, Chilled (Per Kilogram) (Dollar)",2019 Jun,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2019 Jun,3.3
Fishball Noodle (Per Bowl) (Dollar),2019 Jun,3.5
Flowery Grouper (Per Kilogram) (Dollar),2019 Jun,13.9
Fresh Milk (Per Litre) (Dollar),2019 Jun,3.2
Fried Carrot Cake (Per Plate) (Dollar),2019 Jun,3
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2019 Jun,8.1
Golden Snapper (Per Kilogram) (Dollar),2019 Jun,17.8
Grapes (Per Kilogram) (Dollar),2019 Jun,9.9
Hen Eggs (Per 10) (Dollar),2019 Jun,2.4
Ice Kachang (Per Bowl) (Dollar),2019 Jun,2
Infant Milk Powder (Per 100 Gram) (Dollar),2019 Jun,6.1
Instant Coffee (Per 200 Gram) (Dollar),2019 Jun,10.2
Instant Noodles (Per 5 Packets) (Dollar),2019 Jun,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2019 Jun,14
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2019 Jun,4.4
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2019 Jun,2.7
Medium Prawns (Per Kilogram) (Dollar),2019 Jun,19.5
Mee Rebus (Per Bowl) (Dollar),2019 Jun,3.2
"Mutton, Chilled (Per Kilogram) (Dollar)",2019 Jun,19.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2019 Jun,2.5
Orange (Each) (Dollar),2019 Jun,0.6
Ordinary White Bread (Per 400 Gram) (Dollar),2019 Jun,1.7
Papaya (Per Kilogram) (Dollar),2019 Jun,2.2
Pear (Each) (Dollar),2019 Jun,1.3
"Petrol, 92 Octane (Per Litre) (Dollar)",2019 Jun,2.1
"Petrol, 95 Octane (Per Litre) (Dollar)",2019 Jun,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2019 Jun,2.5
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2019 Jun,16.6
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2019 Jun,4.8
Potatoes (Per Kilogram) (Dollar),2019 Jun,2.3
Premium Thai Rice (Per 5 Kilogram) (Dollar),2019 Jun,13.7
Roti Prata (Plain) (Per Piece) (Dollar),2019 Jun,1.1
Salmon (Per Kilogram) (Dollar),2019 Jun,29.7
Sea Bass (Per Kilogram) (Dollar),2019 Jun,12.1
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2019 Jun,10.1
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2019 Jun,4
Small Prawns (Per Kilogram) (Dollar),2019 Jun,14.7
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2019 Jun,13.2
Spinach (Bayam) (Per Kilogram) (Dollar),2019 Jun,3.6
Squids (Per Kilogram) (Dollar),2019 Jun,17.1
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2019 Jun,15.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2019 Jun,60.2
Tomatoes (Per Kilogram) (Dollar),2019 Jun,2.1
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2019 Jun,1.6
Watermelon (Per Kilogram) (Dollar),2019 Jun,1.6
White Pomfret (Per Kilogram) (Dollar),2019 Jun,28.4
White Sugar (Per 2 Kilogram) (Dollar),2019 Jun,3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2019 Jun,6.4
Wholemeal Bread (Per 400 Gram) (Dollar),2019 Jun,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2019 May,2.7
Apple (Each) (Dollar),2019 May,0.4
Bananas (Per Kilogram) (Dollar),2019 May,2.4
"Beef, Chilled (Per Kilogram) (Dollar)",2019 May,24.7
Beer (Per 6 Cans) (Dollar),2019 May,16.1
Broccoli (Per Kilogram) (Dollar),2019 May,6
Cabbage (Per Kilogram) (Dollar),2019 May,2.4
Carrots (Per Kilogram) (Dollar),2019 May,2.1
Cheese (Per 12 Slices) (Dollar),2019 May,5.8
Chicken Nasi Briyani (Per Plate) (Dollar),2019 May,5.6
Chicken Rice (Per Plate) (Dollar),2019 May,3.4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2019 May,8.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2019 May,5.1
Cigarettes (Per Pack) (Dollar),2019 May,13.1
Cod Fish (Per Kilogram) (Dollar),2019 May,66.7
Coffee/Tea With Milk (Per Cup) (Dollar),2019 May,1.2
Coffee/Tea Without Milk (Per Cup) (Dollar),2019 May,1.1
Cooking Oil (Per 2 Kilogram) (Dollar),2019 May,6
Diesel (Per Litre) (Dollar),2019 May,1.7
"Duck, Chilled (Per Kilogram) (Dollar)",2019 May,7.1
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2019 May,3.4
Fishball Noodle (Per Bowl) (Dollar),2019 May,3.5
Flowery Grouper (Per Kilogram) (Dollar),2019 May,12.6
Fresh Milk (Per Litre) (Dollar),2019 May,3.2
Fried Carrot Cake (Per Plate) (Dollar),2019 May,3
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2019 May,8.2
Golden Snapper (Per Kilogram) (Dollar),2019 May,17.9
Grapes (Per Kilogram) (Dollar),2019 May,9.9
Hen Eggs (Per 10) (Dollar),2019 May,2.4
Ice Kachang (Per Bowl) (Dollar),2019 May,2
Infant Milk Powder (Per 100 Gram) (Dollar),2019 May,6.1
Instant Coffee (Per 200 Gram) (Dollar),2019 May,10
Instant Noodles (Per 5 Packets) (Dollar),2019 May,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2019 May,14
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2019 May,4.4
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2019 May,2.7
Medium Prawns (Per Kilogram) (Dollar),2019 May,19.4
Mee Rebus (Per Bowl) (Dollar),2019 May,3.2
"Mutton, Chilled (Per Kilogram) (Dollar)",2019 May,19.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2019 May,2.4
Orange (Each) (Dollar),2019 May,0.6
Ordinary White Bread (Per 400 Gram) (Dollar),2019 May,1.7
Papaya (Per Kilogram) (Dollar),2019 May,2.2
Pear (Each) (Dollar),2019 May,1.3
"Petrol, 92 Octane (Per Litre) (Dollar)",2019 May,2.1
"Petrol, 95 Octane (Per Litre) (Dollar)",2019 May,2.2
"Petrol, 98 Octane (Per Litre) (Dollar)",2019 May,2.6
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2019 May,16.9
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2019 May,3.7
Potatoes (Per Kilogram) (Dollar),2019 May,2.3
Premium Thai Rice (Per 5 Kilogram) (Dollar),2019 May,13.6
Roti Prata (Plain) (Per Piece) (Dollar),2019 May,1.1
Salmon (Per Kilogram) (Dollar),2019 May,30.2
Sea Bass (Per Kilogram) (Dollar),2019 May,11.8
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2019 May,10
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2019 May,4
Small Prawns (Per Kilogram) (Dollar),2019 May,15
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2019 May,12.3
Spinach (Bayam) (Per Kilogram) (Dollar),2019 May,3.6
Squids (Per Kilogram) (Dollar),2019 May,17
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2019 May,15.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2019 May,60.5
Tomatoes (Per Kilogram) (Dollar),2019 May,1.9
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2019 May,1.6
Watermelon (Per Kilogram) (Dollar),2019 May,1.6
White Pomfret (Per Kilogram) (Dollar),2019 May,28.6
White Sugar (Per 2 Kilogram) (Dollar),2019 May,2.9
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2019 May,6.2
Wholemeal Bread (Per 400 Gram) (Dollar),2019 May,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2019 Apr,2.7
Apple (Each) (Dollar),2019 Apr,0.4
Bananas (Per Kilogram) (Dollar),2019 Apr,2.4
"Beef, Chilled (Per Kilogram) (Dollar)",2019 Apr,25.1
Beer (Per 6 Cans) (Dollar),2019 Apr,16.1
Broccoli (Per Kilogram) (Dollar),2019 Apr,6.2
Cabbage (Per Kilogram) (Dollar),2019 Apr,2.3
Carrots (Per Kilogram) (Dollar),2019 Apr,2.1
Cheese (Per 12 Slices) (Dollar),2019 Apr,5.7
Chicken Nasi Briyani (Per Plate) (Dollar),2019 Apr,5.6
Chicken Rice (Per Plate) (Dollar),2019 Apr,3.4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2019 Apr,8.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2019 Apr,5.1
Cigarettes (Per Pack) (Dollar),2019 Apr,13.1
Cod Fish (Per Kilogram) (Dollar),2019 Apr,65.4
Coffee/Tea With Milk (Per Cup) (Dollar),2019 Apr,1.2
Coffee/Tea Without Milk (Per Cup) (Dollar),2019 Apr,1.1
Cooking Oil (Per 2 Kilogram) (Dollar),2019 Apr,6
Diesel (Per Litre) (Dollar),2019 Apr,1.7
"Duck, Chilled (Per Kilogram) (Dollar)",2019 Apr,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2019 Apr,3.3
Fishball Noodle (Per Bowl) (Dollar),2019 Apr,3.5
Flowery Grouper (Per Kilogram) (Dollar),2019 Apr,13.7
Fresh Milk (Per Litre) (Dollar),2019 Apr,3.2
Fried Carrot Cake (Per Plate) (Dollar),2019 Apr,3
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2019 Apr,8.1
Golden Snapper (Per Kilogram) (Dollar),2019 Apr,17.4
Grapes (Per Kilogram) (Dollar),2019 Apr,9.9
Hen Eggs (Per 10) (Dollar),2019 Apr,2.4
Ice Kachang (Per Bowl) (Dollar),2019 Apr,2
Infant Milk Powder (Per 100 Gram) (Dollar),2019 Apr,6.1
Instant Coffee (Per 200 Gram) (Dollar),2019 Apr,10.1
Instant Noodles (Per 5 Packets) (Dollar),2019 Apr,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2019 Apr,14
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2019 Apr,4.4
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2019 Apr,2.7
Medium Prawns (Per Kilogram) (Dollar),2019 Apr,19.5
Mee Rebus (Per Bowl) (Dollar),2019 Apr,3.2
"Mutton, Chilled (Per Kilogram) (Dollar)",2019 Apr,19.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2019 Apr,2.4
Orange (Each) (Dollar),2019 Apr,0.6
Ordinary White Bread (Per 400 Gram) (Dollar),2019 Apr,1.7
Papaya (Per Kilogram) (Dollar),2019 Apr,2.2
Pear (Each) (Dollar),2019 Apr,1.3
"Petrol, 92 Octane (Per Litre) (Dollar)",2019 Apr,2.1
"Petrol, 95 Octane (Per Litre) (Dollar)",2019 Apr,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2019 Apr,2.5
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2019 Apr,16.5
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2019 Apr,4.9
Potatoes (Per Kilogram) (Dollar),2019 Apr,2.3
Premium Thai Rice (Per 5 Kilogram) (Dollar),2019 Apr,13.2
Roti Prata (Plain) (Per Piece) (Dollar),2019 Apr,1.1
Salmon (Per Kilogram) (Dollar),2019 Apr,30.4
Sea Bass (Per Kilogram) (Dollar),2019 Apr,11.8
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2019 Apr,10.1
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2019 Apr,3.7
Small Prawns (Per Kilogram) (Dollar),2019 Apr,14.2
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2019 Apr,12.2
Spinach (Bayam) (Per Kilogram) (Dollar),2019 Apr,3.4
Squids (Per Kilogram) (Dollar),2019 Apr,16.9
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2019 Apr,15.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2019 Apr,56.4
Tomatoes (Per Kilogram) (Dollar),2019 Apr,2.1
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2019 Apr,1.6
Watermelon (Per Kilogram) (Dollar),2019 Apr,1.6
White Pomfret (Per Kilogram) (Dollar),2019 Apr,27.2
White Sugar (Per 2 Kilogram) (Dollar),2019 Apr,3.1
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2019 Apr,6.4
Wholemeal Bread (Per 400 Gram) (Dollar),2019 Apr,2.1
Aerated Soft Drinks (Per 4 Cans) (Dollar),2019 Mar,2.7
Apple (Each) (Dollar),2019 Mar,0.4
Bananas (Per Kilogram) (Dollar),2019 Mar,2.4
"Beef, Chilled (Per Kilogram) (Dollar)",2019 Mar,24.7
Beer (Per 6 Cans) (Dollar),2019 Mar,16.3
Broccoli (Per Kilogram) (Dollar),2019 Mar,5.6
Cabbage (Per Kilogram) (Dollar),2019 Mar,2.3
Carrots (Per Kilogram) (Dollar),2019 Mar,2.1
Cheese (Per 12 Slices) (Dollar),2019 Mar,5.7
Chicken Nasi Briyani (Per Plate) (Dollar),2019 Mar,5.6
Chicken Rice (Per Plate) (Dollar),2019 Mar,3.4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2019 Mar,8.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2019 Mar,5
Cigarettes (Per Pack) (Dollar),2019 Mar,13.1
Cod Fish (Per Kilogram) (Dollar),2019 Mar,65.8
Coffee/Tea With Milk (Per Cup) (Dollar),2019 Mar,1.2
Coffee/Tea Without Milk (Per Cup) (Dollar),2019 Mar,1.1
Cooking Oil (Per 2 Kilogram) (Dollar),2019 Mar,6
Diesel (Per Litre) (Dollar),2019 Mar,1.7
"Duck, Chilled (Per Kilogram) (Dollar)",2019 Mar,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2019 Mar,3.3
Fishball Noodle (Per Bowl) (Dollar),2019 Mar,3.5
Flowery Grouper (Per Kilogram) (Dollar),2019 Mar,13.4
Fresh Milk (Per Litre) (Dollar),2019 Mar,3.2
Fried Carrot Cake (Per Plate) (Dollar),2019 Mar,3
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2019 Mar,7.9
Golden Snapper (Per Kilogram) (Dollar),2019 Mar,18
Grapes (Per Kilogram) (Dollar),2019 Mar,9.9
Hen Eggs (Per 10) (Dollar),2019 Mar,2.5
Ice Kachang (Per Bowl) (Dollar),2019 Mar,2
Infant Milk Powder (Per 100 Gram) (Dollar),2019 Mar,6.1
Instant Coffee (Per 200 Gram) (Dollar),2019 Mar,10.1
Instant Noodles (Per 5 Packets) (Dollar),2019 Mar,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2019 Mar,14.2
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2019 Mar,4.4
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2019 Mar,2.7
Medium Prawns (Per Kilogram) (Dollar),2019 Mar,19
Mee Rebus (Per Bowl) (Dollar),2019 Mar,3.2
"Mutton, Chilled (Per Kilogram) (Dollar)",2019 Mar,19.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2019 Mar,2.4
Orange (Each) (Dollar),2019 Mar,0.6
Ordinary White Bread (Per 400 Gram) (Dollar),2019 Mar,1.7
Papaya (Per Kilogram) (Dollar),2019 Mar,2.3
Pear (Each) (Dollar),2019 Mar,1.3
"Petrol, 92 Octane (Per Litre) (Dollar)",2019 Mar,2.1
"Petrol, 95 Octane (Per Litre) (Dollar)",2019 Mar,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2019 Mar,2.5
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2019 Mar,17.1
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2019 Mar,5.1
Potatoes (Per Kilogram) (Dollar),2019 Mar,2.3
Premium Thai Rice (Per 5 Kilogram) (Dollar),2019 Mar,13.3
Roti Prata (Plain) (Per Piece) (Dollar),2019 Mar,1.1
Salmon (Per Kilogram) (Dollar),2019 Mar,30.4
Sea Bass (Per Kilogram) (Dollar),2019 Mar,12.1
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2019 Mar,10
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2019 Mar,3.5
Small Prawns (Per Kilogram) (Dollar),2019 Mar,14.2
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2019 Mar,12.4
Spinach (Bayam) (Per Kilogram) (Dollar),2019 Mar,3.3
Squids (Per Kilogram) (Dollar),2019 Mar,17
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2019 Mar,15.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2019 Mar,59.1
Tomatoes (Per Kilogram) (Dollar),2019 Mar,2.3
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2019 Mar,1.6
Watermelon (Per Kilogram) (Dollar),2019 Mar,1.6
White Pomfret (Per Kilogram) (Dollar),2019 Mar,29.8
White Sugar (Per 2 Kilogram) (Dollar),2019 Mar,3.1
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2019 Mar,6.4
Wholemeal Bread (Per 400 Gram) (Dollar),2019 Mar,2.1
Aerated Soft Drinks (Per 4 Cans) (Dollar),2019 Feb,2.8
Apple (Each) (Dollar),2019 Feb,0.4
Bananas (Per Kilogram) (Dollar),2019 Feb,2.4
"Beef, Chilled (Per Kilogram) (Dollar)",2019 Feb,24.7
Beer (Per 6 Cans) (Dollar),2019 Feb,16.3
Broccoli (Per Kilogram) (Dollar),2019 Feb,5.6
Cabbage (Per Kilogram) (Dollar),2019 Feb,2.3
Carrots (Per Kilogram) (Dollar),2019 Feb,2.1
Cheese (Per 12 Slices) (Dollar),2019 Feb,6.3
Chicken Nasi Briyani (Per Plate) (Dollar),2019 Feb,5.6
Chicken Rice (Per Plate) (Dollar),2019 Feb,3.4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2019 Feb,8.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2019 Feb,5
Cigarettes (Per Pack) (Dollar),2019 Feb,13.1
Cod Fish (Per Kilogram) (Dollar),2019 Feb,65
Coffee/Tea With Milk (Per Cup) (Dollar),2019 Feb,1.2
Coffee/Tea Without Milk (Per Cup) (Dollar),2019 Feb,1.1
Cooking Oil (Per 2 Kilogram) (Dollar),2019 Feb,5.8
Diesel (Per Litre) (Dollar),2019 Feb,1.6
"Duck, Chilled (Per Kilogram) (Dollar)",2019 Feb,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2019 Feb,3.3
Fishball Noodle (Per Bowl) (Dollar),2019 Feb,3.4
Flowery Grouper (Per Kilogram) (Dollar),2019 Feb,14.5
Fresh Milk (Per Litre) (Dollar),2019 Feb,3.2
Fried Carrot Cake (Per Plate) (Dollar),2019 Feb,3
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2019 Feb,8.2
Golden Snapper (Per Kilogram) (Dollar),2019 Feb,19.4
Grapes (Per Kilogram) (Dollar),2019 Feb,9.9
Hen Eggs (Per 10) (Dollar),2019 Feb,2.4
Ice Kachang (Per Bowl) (Dollar),2019 Feb,2
Infant Milk Powder (Per 100 Gram) (Dollar),2019 Feb,6.2
Instant Coffee (Per 200 Gram) (Dollar),2019 Feb,10.2
Instant Noodles (Per 5 Packets) (Dollar),2019 Feb,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2019 Feb,13.8
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2019 Feb,4.4
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2019 Feb,2.7
Medium Prawns (Per Kilogram) (Dollar),2019 Feb,20.6
Mee Rebus (Per Bowl) (Dollar),2019 Feb,3.2
"Mutton, Chilled (Per Kilogram) (Dollar)",2019 Feb,19.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2019 Feb,1.9
Orange (Each) (Dollar),2019 Feb,0.6
Ordinary White Bread (Per 400 Gram) (Dollar),2019 Feb,1.7
Papaya (Per Kilogram) (Dollar),2019 Feb,2.3
Pear (Each) (Dollar),2019 Feb,1.3
"Petrol, 92 Octane (Per Litre) (Dollar)",2019 Feb,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2019 Feb,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2019 Feb,2.4
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2019 Feb,17.3
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2019 Feb,4.2
Potatoes (Per Kilogram) (Dollar),2019 Feb,2.3
Premium Thai Rice (Per 5 Kilogram) (Dollar),2019 Feb,13
Roti Prata (Plain) (Per Piece) (Dollar),2019 Feb,1.1
Salmon (Per Kilogram) (Dollar),2019 Feb,30.1
Sea Bass (Per Kilogram) (Dollar),2019 Feb,12.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2019 Feb,9.8
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2019 Feb,3.6
Small Prawns (Per Kilogram) (Dollar),2019 Feb,15.3
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2019 Feb,12.8
Spinach (Bayam) (Per Kilogram) (Dollar),2019 Feb,3.4
Squids (Per Kilogram) (Dollar),2019 Feb,17.1
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2019 Feb,15.8
Threadfin (Kurau) (Per Kilogram) (Dollar),2019 Feb,61.4
Tomatoes (Per Kilogram) (Dollar),2019 Feb,2.7
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2019 Feb,1.8
Watermelon (Per Kilogram) (Dollar),2019 Feb,1.6
White Pomfret (Per Kilogram) (Dollar),2019 Feb,30.6
White Sugar (Per 2 Kilogram) (Dollar),2019 Feb,2.9
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2019 Feb,6.3
Wholemeal Bread (Per 400 Gram) (Dollar),2019 Feb,2.1
Aerated Soft Drinks (Per 4 Cans) (Dollar),2019 Jan,2.7
Apple (Each) (Dollar),2019 Jan,0.4
Bananas (Per Kilogram) (Dollar),2019 Jan,2.3
"Beef, Chilled (Per Kilogram) (Dollar)",2019 Jan,24.7
Beer (Per 6 Cans) (Dollar),2019 Jan,16.1
Broccoli (Per Kilogram) (Dollar),2019 Jan,5.5
Cabbage (Per Kilogram) (Dollar),2019 Jan,2.2
Carrots (Per Kilogram) (Dollar),2019 Jan,2.1
Cheese (Per 12 Slices) (Dollar),2019 Jan,5.8
Chicken Nasi Briyani (Per Plate) (Dollar),2019 Jan,5.6
Chicken Rice (Per Plate) (Dollar),2019 Jan,3.4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2019 Jan,8.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2019 Jan,5
Cigarettes (Per Pack) (Dollar),2019 Jan,13.1
Cod Fish (Per Kilogram) (Dollar),2019 Jan,66.6
Coffee/Tea With Milk (Per Cup) (Dollar),2019 Jan,1.2
Coffee/Tea Without Milk (Per Cup) (Dollar),2019 Jan,1.1
Cooking Oil (Per 2 Kilogram) (Dollar),2019 Jan,5.8
Diesel (Per Litre) (Dollar),2019 Jan,1.6
"Duck, Chilled (Per Kilogram) (Dollar)",2019 Jan,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2019 Jan,3.3
Fishball Noodle (Per Bowl) (Dollar),2019 Jan,3.4
Flowery Grouper (Per Kilogram) (Dollar),2019 Jan,13.9
Fresh Milk (Per Litre) (Dollar),2019 Jan,3.2
Fried Carrot Cake (Per Plate) (Dollar),2019 Jan,3
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2019 Jan,8.6
Golden Snapper (Per Kilogram) (Dollar),2019 Jan,19.9
Grapes (Per Kilogram) (Dollar),2019 Jan,9.9
Hen Eggs (Per 10) (Dollar),2019 Jan,2.4
Ice Kachang (Per Bowl) (Dollar),2019 Jan,2
Infant Milk Powder (Per 100 Gram) (Dollar),2019 Jan,6.2
Instant Coffee (Per 200 Gram) (Dollar),2019 Jan,10.1
Instant Noodles (Per 5 Packets) (Dollar),2019 Jan,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2019 Jan,14
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2019 Jan,4.2
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2019 Jan,2.7
Medium Prawns (Per Kilogram) (Dollar),2019 Jan,21.3
Mee Rebus (Per Bowl) (Dollar),2019 Jan,3.2
"Mutton, Chilled (Per Kilogram) (Dollar)",2019 Jan,19.6
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2019 Jan,2.2
Orange (Each) (Dollar),2019 Jan,0.5
Ordinary White Bread (Per 400 Gram) (Dollar),2019 Jan,1.7
Papaya (Per Kilogram) (Dollar),2019 Jan,2.2
Pear (Each) (Dollar),2019 Jan,1.2
"Petrol, 92 Octane (Per Litre) (Dollar)",2019 Jan,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2019 Jan,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2019 Jan,2.4
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2019 Jan,16.5
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2019 Jan,5.1
Potatoes (Per Kilogram) (Dollar),2019 Jan,2.3
Premium Thai Rice (Per 5 Kilogram) (Dollar),2019 Jan,13.2
Roti Prata (Plain) (Per Piece) (Dollar),2019 Jan,1.1
Salmon (Per Kilogram) (Dollar),2019 Jan,30.3
Sea Bass (Per Kilogram) (Dollar),2019 Jan,12.1
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2019 Jan,10.1
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2019 Jan,3.4
Small Prawns (Per Kilogram) (Dollar),2019 Jan,15.5
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2019 Jan,13.4
Spinach (Bayam) (Per Kilogram) (Dollar),2019 Jan,3.2
Squids (Per Kilogram) (Dollar),2019 Jan,17.6
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2019 Jan,15.7
