Consumer Items,Date,Values
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2022 Nov,5.3
Cigarettes (Per Pack) (Dollar),2022 Nov,13.3
Cod Fish (Per Kilogram) (Dollar),2022 Nov,65.1
Coffee/Tea With Milk (Per Cup) (Dollar),2022 Nov,1.3
Coffee/Tea Without Milk (Per Cup) (Dollar),2022 Nov,1.2
Cooking Oil (Per 2 Kilogram) (Dollar),2022 Nov,7
Diesel (Per Litre) (Dollar),2022 Nov,2.5
"Duck, Chilled (Per Kilogram) (Dollar)",2022 Nov,8.8
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2022 Nov,3.7
Fishball Noodle (Per Bowl) (Dollar),2022 Nov,3.9
Flowery Grouper (Per Kilogram) (Dollar),2022 Nov,15.4
Fresh Milk (Per Litre) (Dollar),2022 Nov,3.4
Fried Carrot Cake (Per Plate) (Dollar),2022 Nov,3.4
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2022 Nov,9.5
Golden Snapper (Per Kilogram) (Dollar),2022 Nov,20
Grapes (Per Kilogram) (Dollar),2022 Nov,15.7
Hen Eggs (Per 10) (Dollar),2022 Nov,3.3
Ice Kachang (Per Bowl) (Dollar),2022 Nov,2.3
Infant Milk Powder (Per 100 Gram) (Dollar),2022 Nov,6.4
Instant Coffee (Per 200 Gram) (Dollar),2022 Nov,10.5
Instant Noodles (Per 5 Packets) (Dollar),2022 Nov,2.7
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2022 Nov,16.3
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2022 Nov,5.2
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2022 Nov,2.7
Medium Prawns (Per Kilogram) (Dollar),2022 Nov,16.6
Mee Rebus (Per Bowl) (Dollar),2022 Nov,3.6
"Mutton, Chilled (Per Kilogram) (Dollar)",2022 Nov,26.4
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2022 Nov,3
Orange (Each) (Dollar),2022 Nov,0.7
Ordinary White Bread (Per 400 Gram) (Dollar),2022 Nov,1.9
Papaya (Per Kilogram) (Dollar),2022 Nov,2.4
Pear (Each) (Dollar),2022 Nov,1.2
"Petrol, 92 Octane (Per Litre) (Dollar)",2022 Nov,2.6
"Petrol, 95 Octane (Per Litre) (Dollar)",2022 Nov,2.6
"Petrol, 98 Octane (Per Litre) (Dollar)",2022 Nov,3.1
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2022 Nov,20
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2022 Nov,6.1
Potatoes (Per Kilogram) (Dollar),2022 Nov,2.7
Premium Thai Rice (Per 5 Kilogram) (Dollar),2022 Nov,13.3
Roti Prata (Plain) (Per Piece) (Dollar),2022 Nov,1.2
Salmon (Per Kilogram) (Dollar),2022 Nov,33.2
Sea Bass (Per Kilogram) (Dollar),2022 Nov,11.5
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2022 Nov,11.4
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2022 Nov,4.4
Small Prawns (Per Kilogram) (Dollar),2022 Nov,12.8
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2022 Nov,13.2
Spinach (Bayam) (Per Kilogram) (Dollar),2022 Nov,4.3
Squids (Per Kilogram) (Dollar),2022 Nov,19.6
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2022 Nov,19
Threadfin (Kurau) (Per Kilogram) (Dollar),2022 Nov,55.1
Tomatoes (Per Kilogram) (Dollar),2022 Nov,2.5
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2022 Nov,1.9
Watermelon (Per Kilogram) (Dollar),2022 Nov,1.6
White Pomfret (Per Kilogram) (Dollar),2022 Nov,31.3
White Sugar (Per 2 Kilogram) (Dollar),2022 Nov,3.3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2022 Nov,8.9
Wholemeal Bread (Per 400 Gram) (Dollar),2022 Nov,2.3
Aerated Soft Drinks (Per 4 Cans) (Dollar),2022 Oct,3.2
Apple (Each) (Dollar),2022 Oct,0.5
Bananas (Per Kilogram) (Dollar),2022 Oct,2.6
"Beef, Chilled (Per Kilogram) (Dollar)",2022 Oct,28.5
Beer (Per 6 Cans) (Dollar),2022 Oct,16.2
Broccoli (Per Kilogram) (Dollar),2022 Oct,6.6
Cabbage (Per Kilogram) (Dollar),2022 Oct,2.9
Carrots (Per Kilogram) (Dollar),2022 Oct,2.1
Cheese (Per 12 Slices) (Dollar),2022 Oct,5.9
Chicken Nasi Briyani (Per Plate) (Dollar),2022 Oct,6.4
Chicken Rice (Per Plate) (Dollar),2022 Oct,4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2022 Oct,11.2
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2022 Oct,5.3
Cigarettes (Per Pack) (Dollar),2022 Oct,13.3
Cod Fish (Per Kilogram) (Dollar),2022 Oct,65.1
Coffee/Tea With Milk (Per Cup) (Dollar),2022 Oct,1.3
Coffee/Tea Without Milk (Per Cup) (Dollar),2022 Oct,1.2
Cooking Oil (Per 2 Kilogram) (Dollar),2022 Oct,7.6
Diesel (Per Litre) (Dollar),2022 Oct,2.5
"Duck, Chilled (Per Kilogram) (Dollar)",2022 Oct,8.3
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2022 Oct,3.7
Fishball Noodle (Per Bowl) (Dollar),2022 Oct,3.9
Flowery Grouper (Per Kilogram) (Dollar),2022 Oct,15.3
Fresh Milk (Per Litre) (Dollar),2022 Oct,3.4
Fried Carrot Cake (Per Plate) (Dollar),2022 Oct,3.4
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2022 Oct,9.4
Golden Snapper (Per Kilogram) (Dollar),2022 Oct,19.7
Grapes (Per Kilogram) (Dollar),2022 Oct,15.9
Hen Eggs (Per 10) (Dollar),2022 Oct,3.1
Ice Kachang (Per Bowl) (Dollar),2022 Oct,2.3
Infant Milk Powder (Per 100 Gram) (Dollar),2022 Oct,6.3
Instant Coffee (Per 200 Gram) (Dollar),2022 Oct,10.6
Instant Noodles (Per 5 Packets) (Dollar),2022 Oct,2.7
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2022 Oct,16.5
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2022 Oct,4.9
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2022 Oct,2.7
Medium Prawns (Per Kilogram) (Dollar),2022 Oct,16.5
Mee Rebus (Per Bowl) (Dollar),2022 Oct,3.6
"Mutton, Chilled (Per Kilogram) (Dollar)",2022 Oct,25.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2022 Oct,3
Orange (Each) (Dollar),2022 Oct,0.7
Ordinary White Bread (Per 400 Gram) (Dollar),2022 Oct,1.9
Papaya (Per Kilogram) (Dollar),2022 Oct,2.4
Pear (Each) (Dollar),2022 Oct,1.2
"Petrol, 92 Octane (Per Litre) (Dollar)",2022 Oct,2.6
"Petrol, 95 Octane (Per Litre) (Dollar)",2022 Oct,2.6
"Petrol, 98 Octane (Per Litre) (Dollar)",2022 Oct,3.1
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2022 Oct,20.1
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2022 Oct,6.1
Potatoes (Per Kilogram) (Dollar),2022 Oct,2.7
Premium Thai Rice (Per 5 Kilogram) (Dollar),2022 Oct,12.9
Roti Prata (Plain) (Per Piece) (Dollar),2022 Oct,1.2
Salmon (Per Kilogram) (Dollar),2022 Oct,33
Sea Bass (Per Kilogram) (Dollar),2022 Oct,12
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2022 Oct,12
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2022 Oct,4.4
Small Prawns (Per Kilogram) (Dollar),2022 Oct,13
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2022 Oct,12.8
Spinach (Bayam) (Per Kilogram) (Dollar),2022 Oct,4.3
Squids (Per Kilogram) (Dollar),2022 Oct,18.8
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2022 Oct,19.1
Threadfin (Kurau) (Per Kilogram) (Dollar),2022 Oct,58
Tomatoes (Per Kilogram) (Dollar),2022 Oct,2.6
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2022 Oct,1.7
Watermelon (Per Kilogram) (Dollar),2022 Oct,1.7
White Pomfret (Per Kilogram) (Dollar),2022 Oct,30.4
White Sugar (Per 2 Kilogram) (Dollar),2022 Oct,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2022 Oct,9.4
Wholemeal Bread (Per 400 Gram) (Dollar),2022 Oct,2.3
Aerated Soft Drinks (Per 4 Cans) (Dollar),2022 Sep,3.2
Apple (Each) (Dollar),2022 Sep,0.5
Bananas (Per Kilogram) (Dollar),2022 Sep,2.6
"Beef, Chilled (Per Kilogram) (Dollar)",2022 Sep,28.4
Beer (Per 6 Cans) (Dollar),2022 Sep,16
Broccoli (Per Kilogram) (Dollar),2022 Sep,6.7
Cabbage (Per Kilogram) (Dollar),2022 Sep,3
Carrots (Per Kilogram) (Dollar),2022 Sep,2
Cheese (Per 12 Slices) (Dollar),2022 Sep,6
Chicken Nasi Briyani (Per Plate) (Dollar),2022 Sep,6.4
Chicken Rice (Per Plate) (Dollar),2022 Sep,4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2022 Sep,11.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2022 Sep,5.4
Cigarettes (Per Pack) (Dollar),2022 Sep,13.3
Cod Fish (Per Kilogram) (Dollar),2022 Sep,64.9
Coffee/Tea With Milk (Per Cup) (Dollar),2022 Sep,1.3
Coffee/Tea Without Milk (Per Cup) (Dollar),2022 Sep,1.2
Cooking Oil (Per 2 Kilogram) (Dollar),2022 Sep,7.4
Diesel (Per Litre) (Dollar),2022 Sep,2.5
"Duck, Chilled (Per Kilogram) (Dollar)",2022 Sep,8.5
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2022 Sep,3.7
Fishball Noodle (Per Bowl) (Dollar),2022 Sep,3.8
Flowery Grouper (Per Kilogram) (Dollar),2022 Sep,15.3
Fresh Milk (Per Litre) (Dollar),2022 Sep,3.5
Fried Carrot Cake (Per Plate) (Dollar),2022 Sep,3.4
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2022 Sep,9.6
Golden Snapper (Per Kilogram) (Dollar),2022 Sep,20.8
Grapes (Per Kilogram) (Dollar),2022 Sep,17.6
Hen Eggs (Per 10) (Dollar),2022 Sep,3.1
Ice Kachang (Per Bowl) (Dollar),2022 Sep,2.3
Infant Milk Powder (Per 100 Gram) (Dollar),2022 Sep,6.3
Instant Coffee (Per 200 Gram) (Dollar),2022 Sep,10.6
Instant Noodles (Per 5 Packets) (Dollar),2022 Sep,2.7
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2022 Sep,16.6
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2022 Sep,4.9
